cik	fyear	filename	formtype	companyname	filingdate	url	GVKEY	conm	cusip	tic	fyr	datadate	sich	at	prcc_f	csho
820960	1996	0001005477-97-000749.txt	10-K	STEEL OF WEST VIRGINIA	1997-03-13	https://www.sec.gov/Archives/edgar/data/820960/0001005477-97-000749.txt	14214	STEEL OF WEST VIRGINIA	858154107	SWVA	12	13514	3312	79.299	7.5	5.986
865120	1996	0000865120-97-000004.txt	10-K	REGENCY HEALTH SERVICES	1997-03-25	https://www.sec.gov/Archives/edgar/data/865120/0000865120-97-000004.txt	25435	REGENCY HEALTH SERVICES INC	758934103	RHS.1	12	13514	8051	353.576	9.625	16.781
1000697	1996	0000950130-97-001436.txt	10-K405	WATERS CORP	1997-03-31	https://www.sec.gov/Archives/edgar/data/1000697/0000950130-97-001436.txt	61574	WATERS CORP	941848103	WAT	12	13514	3826	365.502	30.375	28.923
1017147	1996	0000950137-97-001256.txt	10-K	INTENSIVA HEALTHCARE	1997-03-31	https://www.sec.gov/Archives/edgar/data/1017147/0000950137-97-001256.txt	63764	INTENSIVA HEALTHCARE CORP	45815Y105	IHCC	12	13514	8051	28.464	11.25	9.905
1016152	1996	0000890566-97-000650.txt	10-K	CORNELL CORRECTIONS	1997-03-31	https://www.sec.gov/Archives/edgar/data/1016152/0000890566-97-000650.txt	63707	CORNELL COMPANIES INC	219141108	CRN	12	13514	8744	46.824	8.875	6.765
45919	1996	0000950134-97-002354.txt	10-K405	HARTE HANKS COMMUNICATIONS	1997-03-28	https://www.sec.gov/Archives/edgar/data/45919/0000950134-97-002354.txt	12545	HARTE HANKS INC	416196103	HHS	12	13514	7331	592.283	27.75	36.802
98338	1996	0000950110-96-000977.txt	10-K	TSR	1996-08-26	https://www.sec.gov/Archives/edgar/data/98338/0000950110-96-000977.txt	10305	TSR INC	872885207	TSRI	5	13665	7371	14.044	25.25	2.914
723254	1996	0000723254-96-000007.txt	10-K	CINTAS	1996-08-28	https://www.sec.gov/Archives/edgar/data/723254/0000723254-96-000007.txt	3062	CINTAS CORP	172908105	CTAS	5	13665	2320	761.823	62	48.267
906193	1996	0000891020-96-001588.txt	10-K	KEY TECHNOLOGY	1996-12-20	https://www.sec.gov/Archives/edgar/data/906193/0000891020-96-001588.txt	28641	KEY TECHNOLOGY INC	493143101	KTEC	9	13422	3550	45.252	26.5	4.658
714981	1996	0000913569-96-000231.txt	10-K	INTERFACE SYSTEMS	1996-12-30	https://www.sec.gov/Archives/edgar/data/714981/0000913569-96-000231.txt	6035	INTERFACE SYSTEMS INC	458667102	INTF.1	9	13422	3577	38.879	5.625	4.536
879969	1996	0001029869-97-000393.txt	10-K	CAREMATRIX	1997-03-28	https://www.sec.gov/Archives/edgar/data/879969/0001029869-97-000393.txt	24707	CAREMATRIX CORP	141706309	CMDCQ	12	13514	8300	108.065	13.125	17.112
819050	1996	0000936392-97-000392.txt	10-K405	VICAL	1997-03-25	https://www.sec.gov/Archives/edgar/data/819050/0000936392-97-000392.txt	27920	VICAL INC	925602203	VICL	12	13514	2836	52.44	16.5	15.397
