filename	fyear
0000827187-06-000019.txt	2005
0000830158-03-000024.txt	2002
0000830158-04-000017.txt	2003
0000830158-05-000016.txt	2004
0000830158-94-000004.txt	1993
0000830158-95-000002.txt	1994
0000830158-96-000004.txt	1995
0000830158-97-000006.txt	1996
0000830158-98-000004.txt	1997
0000830158-99-000002.txt	1998
0000830260-02-000005.txt	2001
0000830260-03-000006.txt	2002
0000830260-04-000007.txt	2003
0000830260-94-000007.txt	1993
0000830260-95-000004.txt	1994
0000830260-97-000006.txt	1996
0000830260-98-000006.txt	1997
0000830260-99-000002.txt	1998
0000830656-02-000007.txt	2001
0000830656-98-000001.txt	1997
0000830656-99-000010.txt	1998
0000830736-02-000010.txt	2001
0000831259-04-000007.txt	2003
0000831259-04-000007.txt.1	2003
0000831259-05-000021.txt	2004
0000831259-05-000021.txt.1	2004
0000831259-06-000004.txt	2005
0000831259-06-000004.txt.1	2005
0000831259-07-000029.txt	2006
0000831259-08-000026.txt	2007
0000831259-08-000026.txt.1	2007
0000831259-08-000036.txt	2007
0000831259-09-000018.txt	2008
0000831259-09-000018.txt.1	2008
0000831259-09-000020.txt	2008
0000831259-10-000010.txt	2009
0000831259-10-000010.txt.1	2009
0000831259-11-000014.txt	2010
0000831259-11-000014.txt.1	2010
0000831259-12-000014.txt	2011
0000831259-13-000014.txt	2012
0000831259-13-000014.txt.1	2012
0000831259-14-000006.txt	2013
0000831259-14-000006.txt.1	2013
0000831259-15-000016.txt	2014
0000831259-16-000062.txt	2015
0000831259-16-000062.txt.1	2015
0000831259-95-000006.txt	1994
0000831259-95-000006.txt.1	1994
0000831259-96-000003.txt	1995
0000831259-96-000003.txt.1	1995
0000831259-97-000009.txt	1996
0000831259-97-000009.txt.1	1996
0000831259-99-000003.txt	1998
0000831547-16-000059.txt	2015
0000831861-96-000006.txt	1996
0000831861-97-000017.txt	1997
0000832101-15-000009.txt	2014
0000832101-16-000057.txt	2015
0000832320-94-000010.txt	1994
0000832412-99-000002.txt	1999
0000832428-00-000006.txt	1999
0000832428-00-000006.txt.1	1999
0000832428-01-000003.txt	2000
0000832428-01-000003.txt.1	2000
0000832428-13-000014.txt	2012
0000832428-13-000014.txt.1	2012
0000832428-14-000012.txt	2013
0000832428-14-000012.txt.1	2013
